Combination of Genres,Average Revenue
Family|Fantasy|Romance,1263521126.0
Family|Adventure|Animation|Comedy|Fantasy|Drama,1073394593.0
Action|Animation|Comedy|Family|Adventure,1031552585.0
Family|Adventure|Drama|Fantasy,966550600.0
Animation|Family|Comedy|Fantasy|Adventure,928760770.0
Action|Adventure|Science Fiction|Drama,880166924.0
Adventure|Family|Animation,875660833.5
Animation|Family|Adventure|Drama|Comedy,857611174.0
Family|Animation|Fantasy|Music|Comedy|Adventure,800526015.0
Science Fiction|Adventure|Family|Fantasy,792965500.0
Adventure|Action|Science Fiction,770372030.7692307
Family|Animation|Drama,763455561.0
Fantasy|Adventure|Action|Family|Romance,758539785.0
Comedy|Adventure|Fantasy|Animation|Family,752600867.0
Science Fiction|Adventure|Thriller,752100229.0
Adventure|Fantasy|Drama|Romance,745772936.3333334
Action|Crime|Thriller|Adventure,721077945.0
Action|Adventure|Fantasy|Science Fiction,721012191.5454545
Adventure|Fantasy|Romance,712171856.0
Science Fiction|Adventure|Fantasy,691210692.0
Action|Comedy|Mystery,686257563.0
Adventure|Family|Animation|Action|Comedy,657827828.0
Action|Adventure|Science Fiction|Fantasy,643516713.6
Drama|Adventure|Science Fiction,630161890.0
Adventure|Science Fiction|Action,627019643.6666666
Fantasy|Action|Adventure|Animation|Comedy|Family,621537500.0
Adventure|Thriller|Science Fiction,603873119.0
Adventure|Fantasy|Romance|Family,591586210.0
Adventure|Action|Thriller|Crime,589580482.0
Animation|Adventure|Family|Fantasy|Comedy|Action,587204668.0
Fantasy|Adventure|Action,586841871.0
Action|Adventure|Comedy|Family|Fantasy,574480841.0
Adventure|Comedy|Animation|Family,560845525.0
Romance|Fantasy|Family|Drama,543514353.0
Animation|Adventure|Comedy|Family|Action|Fantasy,538983207.0
Family|Animation|Adventure|Comedy|Fantasy,530539764.0
Family|Fantasy|Comedy|Animation,528600000.0
Action|Thriller|Crime|Adventure,528579924.0
Action|Adventure|Crime|Mystery,524028679.0
Fantasy|Drama|Thriller|Mystery|Romance,505000000.0
Animation|Family|Adventure|Fantasy|Romance,504050219.0
Drama|Action|Crime|Thriller,502351140.5
Adventure|History|War,497409852.0
Drama|Science Fiction|War,488533726.0
Adventure|Action|Comedy|Fantasy,481051118.5
Action|Comedy|Drama|Thriller,478207520.0
War|History|Drama|Action,460919368.0
Action|Adventure|Mystery|Thriller,459242249.0
Drama|Action|War|History,456758981.0
Adventure|Fantasy|Action,455064883.2222222
Action|War|History|Romance|Drama,449220945.0
Family|Adventure|Animation|Drama,448191819.0
Action|Crime|History,445000000.0
Fantasy|Adventure|Animation|Comedy|Family,434274254.5
Action|Adventure|Science Fiction,430008497.54347825
Romance|Family|Animation|Fantasy,424967620.0
Animation|Comedy|Family|Music,424575839.5
Action|Science Fiction|Adventure|Fantasy,415440673.0
Crime|Comedy|Action|Adventure,414351546.0
Thriller|Action|Drama|Music|Romance,411006740.0
Fantasy|Thriller|Action|Adventure|Horror,409231607.0
Adventure|Animation|Family|Comedy|Science Fiction,408579038.0
Drama|Thriller|Science Fiction|Mystery,408247917.0
Science Fiction|Action|Adventure,389878141.47619045
Action|Adventure|Animation|Family,383073756.0
Action|Drama|Science Fiction,379334505.5
Action|Science Fiction|Adventure,378927543.3636364
Science Fiction|Action|Thriller|Adventure,376449796.5
Action|Adventure|Animation|Science Fiction|Comedy,375540831.0
Action|Adventure|Fantasy,372288889.2580645
Adventure|Animation|Mystery,371940071.0
Science Fiction|Adventure|Action|Thriller,371876278.0
Fantasy|Comedy|Animation|Science Fiction|Family,368871007.0
Adventure|Comedy|Fantasy|Family,363204635.0
Comedy|Family|Fantasy|Animation,361366633.0
Action|Thriller|Science Fiction|Mystery,358372926.0
Animation|Family|Comedy|Adventure,357952652.5
Mystery|Crime|Drama,351839303.0
Adventure|Action|Thriller|Mystery,347512318.0
Fantasy|Family|Comedy|Animation,347434178.0
Family|Animation|Fantasy|Adventure|Comedy|Music,346864462.0
Adventure|Animation|Family|Romance,346079773.0
Adventure|Comedy|Family|Animation,345430236.0
Comedy|Fantasy|Family|Music|Animation,342695435.0
Comedy|Family|Fantasy|Romance,340487652.0
Action|Crime|Fantasy,336529144.0
Adventure|Fantasy|Mystery,334835193.0
Adventure|Action|Crime|Mystery,334615000.0
Adventure|Science Fiction,334590891.0
Family|Action|Animation|Adventure|Fantasy|Science Fiction,334000000.0
Fantasy|Animation|Comedy|Crime|Family,329803958.0
Family|Fantasy|Adventure,329760380.5
Drama|Animation|Family,325338851.0
Animation|Family|Drama|Fantasy,325286646.0
Animation|Action|Comedy|Family|Science Fiction,321885765.0
Science Fiction|Action|Adventure|Comedy,318871067.0
Animation|Family|Action|Comedy|Science Fiction|Fantasy,311950384.0
Family|Adventure|Comedy|Fantasy|Animation,311594032.0
Fantasy|Action,311114229.71428573
Comedy|Drama|Crime|Mystery,309232797.0
Action|Thriller|War|Drama,308798528.5
Family|Animation|Fantasy|Action|Adventure,306941670.0
Action|Science Fiction|Comedy|Family,306766470.0
Action|Adventure|Science Fiction|Thriller,303908220.5555556
Thriller|Action|Adventure|Science Fiction,303025485.0
Adventure|Fantasy|Comedy|Family,300855000.0
Horror|Adventure|Action,300257475.0
Animation|Comedy|Family|Adventure|Fantasy,298572799.0
Comedy|Crime|Science Fiction,296655431.0
Fantasy|Adventure|Family|Drama,296482446.0
Adventure|Fantasy,295052740.8
Science Fiction|Adventure|Action,294211156.14285713
Family|Fantasy|Action|Adventure|Comedy,292817841.0
Adventure|Action|Fantasy,290747926.72727275
Action|Fantasy|Science Fiction|Adventure,290061297.0
Romance|History|Comedy,289317794.0
Action|Thriller|Science Fiction|Adventure,288875722.3333333
Action|Science Fiction|Adventure|Mystery,286168572.0
Animation|Family|Adventure|Science Fiction,283781797.5
Action|Thriller|Adventure,279131407.6666667
Mystery|Adventure|Comedy,275650703.0
Adventure|Fantasy|Action|Comedy|Family,275202329.5
Thriller|Adventure|Action,274470394.0
Western|Drama|Adventure,273046779.5
Science Fiction|Adventure|Mystery,271085071.0
Romance|Family|Animation,270997378.0
Adventure|Action|Drama|Fantasy,269784201.0
Action|Drama|Horror|Science Fiction|Thriller,268833711.0
Science Fiction|Action|Drama|Thriller,264248650.0
Action|Comedy|Adventure,262121879.33333334
Comedy|Adventure|Family,259207227.0
Action|Adventure|Drama|Romance,259047171.5
Action|Drama|Mystery|Thriller,259034189.5
Adventure|Fantasy|Family,258490912.0
Adventure|Action|Thriller|Science Fiction,255950892.1111111
Comedy|Mystery|Action|Adventure,254212245.0
Comedy|Romance|Drama|Family|Music,252909177.0
Animation|Family|Fantasy|Adventure|Comedy|Romance,252712101.0
Drama|Adventure|Western,252276927.0
Science Fiction|Thriller|Drama,252135315.33333334
Action|Mystery|Science Fiction|Thriller,251883111.5
War|Drama|Action|Thriller,251200178.5
Adventure|Drama|Action,250757411.0
Action|Adventure|Drama|War,250100000.0
Family|Adventure|Comedy|Animation,250094217.5
Adventure|Fantasy|Drama,248728758.0
Fantasy|Adventure|Animation|Family,247439379.5
Animation|Comedy|Family|Western|Adventure,245724603.0
Animation|Comedy|Fantasy|Adventure|Family,243926660.0
Thriller|Action|Drama|Science Fiction,241430092.5
Adventure|Action|Comedy|Thriller|Crime,238426070.0
Family|Comedy|Adventure|Fantasy,237382724.0
Action|Adventure|Animation|Comedy|Family,237228395.33333334
Adventure|Drama|Science Fiction,236156617.66666666
Drama|Science Fiction|Adventure,235926552.0
Horror|Thriller|Adventure,235326500.0
Fantasy|Adventure,235211152.14285713
Adventure|Action|Thriller,234979905.76923078
Family|Animation|Adventure|Comedy,234582302.84615386
History|Drama|Thriller|War,233555708.0
Thriller|Crime|Mystery|Drama,232617430.0
Action|Fantasy|Comedy,229147509.0
Thriller|Action|Fantasy,228738393.0
Comedy|Family|Animation|Fantasy|Music,227398695.0
Music|Drama|History,227124082.4
Fantasy|Action|Drama,226904017.0
Fantasy|Horror|Action,226349749.0
Adventure|Comedy|Science Fiction|Family,224899296.5
Adventure|Action,224109002.33333334
Fantasy|Action|Adventure|Family,223487854.0
Action|Adventure|Comedy|Science Fiction|Western,222104681.0
Action|Adventure|Comedy|Family|Science Fiction,221317915.0
Mystery|Thriller|Drama|Action,220021259.0
Animation|Comedy|Family|Adventure,218324825.8
Horror|Action|Drama|Fantasy|War,217124280.0
Action|Comedy|Mystery|Crime,216972543.0
Animation|Fantasy|Adventure,216031276.0
Romance|Horror,215862692.0
Drama|History|War|Action,215294342.0
Adventure|Drama|Western,214257924.0
Fantasy|Comedy|Family|Romance,212874864.0
Crime|Comedy|Adventure,212385533.0
Action|Fantasy|Horror|Mystery,211989043.0
Action|Adventure|Animation|Family|Comedy,210581520.0
Action|Adventure|Thriller|Science Fiction,210308099.0
Adventure|Family|Mystery|Science Fiction,209154322.0
Drama|Fantasy|Thriller|Mystery|Horror,206071502.0
Adventure|Comedy|Fantasy|Family|Drama,205035819.0
Adventure|War|History|Action,203567857.0
Romance|Science Fiction|Fantasy|Thriller,203388341.0
Science Fiction|Action|Adventure|Comedy|Family,201965915.0
Adventure|Fantasy|Action|Thriller,201595380.66666666
Action|Adventure|Western,201451090.0
Drama|War|Romance,201176289.5
Drama|Thriller|History|War,200276000.0
Action|Science Fiction|Adventure|Thriller,198802074.0
Romance|Drama|Fantasy,198685114.0
Action|Comedy|Adventure|War,195702811.0
Mystery|Drama|Thriller|Crime,195268056.0
Family|Adventure|Animation|Comedy,194208141.2
Action|Drama|Adventure,192475668.4
Animation|Family|Fantasy|Adventure,192164339.0
Action|Adventure|Drama|Family,192134920.0
Family|Comedy|Fantasy|Horror,191502426.0
Animation|Adventure|Family|Comedy,190671981.375
Animation|Comedy|Family|Fantasy,190655377.5
Crime|Thriller|Drama,189069552.5
Animation|Family|Adventure|Comedy|Fantasy,187916441.0
Animation|Drama|Fantasy|Romance,186965409.0
Action|Mystery|Science Fiction,185258983.0
Science Fiction|Fantasy|Action|Adventure,183987723.0
Animation|Action|Comedy|Family,183637509.5
Adventure|Comedy|Drama|Family|Fantasy,183018522.0
Action|Adventure|Comedy|Crime|Thriller,182670276.14285713
Thriller|Fantasy|Comedy|Family|Mystery,182290266.0
Adventure|Action|Drama|Thriller,181674817.0
Mystery|Fantasy|Adventure|Comedy,181466833.0
Thriller|Science Fiction|Action|Adventure,181105870.0
Action|Crime|Comedy,180664551.5
Drama|History|Adventure,180304163.0
Action|Adventure|Thriller,179577965.7826087
Adventure|Comedy|Family|Science Fiction,179466260.0
Adventure|Science Fiction|Action|Mystery,179246868.0
Animation|Family|Comedy|Fantasy,178145098.33333334
Adventure|Science Fiction|Action|Horror,177427090.0
Drama|Adventure|Action|History,177394432.0
Thriller|Action|Adventure|Comedy|Crime,177238796.0
Action|Drama|Thriller|Crime|Mystery,176997168.0
Action|Adventure|Thriller|War,176657236.75
Thriller|Comedy|Crime|Action,176586701.0
Action|Science Fiction|Thriller|Western,174822325.0
